"","Month","Tmin","Tmax","Chill_eff","Heat_eff"
"70",10,-19,7,0.31100327450568,0.120150487476535
"71",10,-19,8,0.358283634342101,0.242661783646429
"72",10,-19,9,0.360546424742767,0.411093411424363
"73",10,-19,10,0.351187698083842,0.624724673609006
"74",10,-19,11,0.306955428066402,0.887164065186272
"75",10,-19,12,0.336250429401854,1.19657966080116
"76",10,-19,13,0.360824303506856,1.54682918935877
"77",10,-19,14,0.360747433491101,1.93093053540553
"78",10,-19,15,0.31202457010008,2.34165767330599
"79",10,-19,16,0.276325358899486,2.77258357237832
"80",10,-19,17,0.27448214367841,3.21729225758321
"81",10,-19,18,0.235970408543538,3.66903808919295
"82",10,-19,19,0.244183232333782,4.12075429683605
"83",10,-19,20,0.222032794913735,4.56491330293321
"84",10,-19,21,0.160834693291572,4.99418986732207
"85",10,-19,22,0,5.40128402037643
"86",10,-19,23,0,5.7791178414404
"87",10,-19,24,0,6.12133203040456
"88",10,-19,25,0,6.42262625914816
"89",10,-19,26,0,6.36226679040445
"90",10,-19,27,0,5.74452197114016
"91",10,-19,28,0,5.19757930067132
"92",10,-19,29,0,4.79005018364506
"93",10,-19,30,0,4.22668711249726
"94",10,-18,-15,0,0
"95",10,-18,-14,0,0
"96",10,-18,-13,0,0
"97",10,-18,-12,0,0
"98",10,-18,-11,0,0
"99",10,-18,-10,0,0
"100",10,-18,-9,0,0
"101",10,-18,-8,0,0
"102",10,-18,-7,0,0
"103",10,-18,-6,0,0
"104",10,-18,-5,0,0
"105",10,-18,-4,0,0
"106",10,-18,-3,0,0
"107",10,-18,-2,0.0000000978428969431765,0
"108",10,-18,-1,0.00000129712994276915,0
"109",10,-18,0,0.0000164218250874701,0
"110",10,-18,1,0.000203502160425354,0
"111",10,-18,2,0.00246368995921409,0
"112",10,-18,3,0.0276623493587511,0
"113",10,-18,4,0.19548258156868,0
"114",10,-18,5,0.28925514088208,0.00824656816561784
"115",10,-18,6,0.34607324027238,0.0461385365733384
"116",10,-18,7,0.317781738224271,0.122792248654642
"117",10,-18,8,0.351283219075595,0.247515894415535
"118",10,-18,9,0.366660465272006,0.418165661296481
"119",10,-18,10,0.329945263105835,0.635595953784227
"120",10,-18,11,0.338975533507131,0.903227406250294
"121",10,-18,12,0.3383047588081,1.21764171781761
"122",10,-18,13,0.366618645161158,1.57252561219266
"123",10,-18,14,0.36441156838957,1.96086446158685
"124",10,-18,15,0.3135263903665,2.375941224617
"125",10,-18,16,0.28721216833241,2.81163246182052
"126",10,-18,17,0.254497470706471,3.26145920697692
"127",10,-18,18,0.265494957918038,3.71856383736127
"128",10,-18,19,0.271805418969826,4.1754686769067
"129",10,-18,20,0.228804903397037,4.62454956876986
"130",10,-18,21,0.193403709234415,5.0582210657177
"131",10,-18,22,0,5.46883308302838
"132",10,-18,23,0,5.8492860458056
"133",10,-18,24,0,6.1934115768399
