"Month","Tmin","Tmax","Dynamic_Model","GDH"
10,-9,25,0,167.818417160311
10,-9,26,0,169.425993185509
10,-9,27,0,166.524349985265
10,-9,28,0,161.423478696821
10,-9,29,0,153.850486891705
10,-9,30,0,145.586918340853
10,-8,-5,0.0000180694869284498,0
10,-8,-4,0.0000792852714648605,0
10,-8,-3,0.000357195262116746,0
10,-8,-2,0.00162039760242794,0
10,-8,-1,0.00730039357543529,0
10,-8,0,0.0317948518500844,0
10,-8,1,0.122662043673241,0
10,-8,2,0.338747266638247,0
10,-8,3,0.547669459478559,0
10,-8,4,0.58434430903445,0
10,-8,5,0.601177672203538,0.252722665262187
10,-8,6,0.623711142756838,1.37460993252688
10,-8,7,0.629065558317737,3.64113623422331
10,-8,8,0.652124589210361,7.17066239241942
10,-8,9,0.65273469216202,12.0284926960703
10,-8,10,0.642827657627699,18.1773997884705
10,-8,11,0.645636527898347,25.5385612264476
10,-8,12,0.660889177022976,34.0283429051522
10,-8,13,0.638646029530569,43.52271858924
10,-8,14,0.601669302494391,53.8669461718007
10,-8,15,0.576867642801596,64.8811740134537
10,-8,16,0.578056842112571,76.3766611461388
10,-8,17,0.539666022583056,88.1624099084339
10,-8,18,0.502608873866574,100.044952368176
10,-8,19,0.468905388356208,111.835458569704
10,-8,20,0.431341515275651,123.341568628392
10,-8,21,0.393975869501503,134.375993565386
10,-8,22,0.232019280041698,144.764387754405
10,-8,23,0.0578909902655066,154.34674999049
10,-8,24,0,162.984476546933
10,-8,25,0,170.5605814768
10,-8,26,0,172.114602150119
10,-8,27,0,169.266141465182
10,-8,28,0,163.976132422313
10,-8,29,0,156.245170777795
10,-8,30,0,147.952663687175
10,-7,-5,0.00002196601761189,0
10,-7,-4,0.0000887284080962246,0
10,-7,-3,0.000384161708474056,0
10,-7,-2,0.00170633429115969,0
10,-7,-1,0.00759224223969002,0
10,-7,0,0.0328061624736949,0
10,-7,1,0.125950016246834,0
10,-7,2,0.347214074276583,0
10,-7,3,0.55726233368334,0
10,-7,4,0.592918867806663,0
10,-7,5,0.617290986518066,0.262507572993524
10,-7,6,0.632119855351238,1.42743336971901
10,-7,7,0.638505053089369,3.76929939893389
10,-7,8,0.664532053276445,7.41266944621154
10,-7,9,0.657583653540642,12.4087135022386
10,-7,10,0.651605052911369,18.7067678163746
10,-7,11,0.673621991286816,26.2420814107272
10,-7,12,0.6677471882171,34.9221816708868
10,-7,13,0.634316184338362,44.612648336139
10,-7,14,0.607163962040674,55.1491032775082
10,-7,15,0.603403244244469,66.3508331231342
10,-7,16,0.577895367149368,78.0324297667187
10,-7,17,0.542115106360222,90.0027696473922
10,-7,18,0.511933475394118,102.070496219614
10,-7,19,0.49439797999674,114.035509145056
10,-7,20,0.405286273553125,125.700996964087
10,-7,21,0.406286758168004,136.878713720867
10,-7,22,0.255769991287659,147.393646589662
10,-7,23,0.0658720538932695,157.089767736941
10,-7,24,0,165.825867337473
10,-7,25,0,173.481992570517
10,-7,26,0,174.986091295512
10,-7,27,0,172.161978895636
10,-7,28,0,166.699075010252
10,-7,29,0,158.846769225009
10,-7,30,0,150.49716067595
10,-6,-5,0.00003178324284243,0
10,-6,-4,0.000107885302373774,0
10,-6,-3,0.000429969613545805,0
10,-6,-2,0.00183504414476717,0
10,-6,-1,0.00799273748285059,0
10,-6,0,0.0341007570824211,0
10,-6,1,0.129867088417873,0
10,-6,2,0.356545333452767,0
10,-6,3,0.566604376479723,0
10,-6,4,0.59830238937886,0
10,-6,5,0.623097265360878,0.273853242879646
10,-6,6,0.640547327675652,1.48667472806203
10,-6,7,0.658951385135971,3.91166007650651
10,-6,8,0.671846138093661,7.68154589403584
10,-6,9,0.662894878786092,12.8221616649655
10,-6,10,0.671765371993116,19.2846112461175
10,-6,11,0.691944640333608,27.0102862367518
10,-6,12,0.663748512027383,35.892186600783
