"Year","Month","Day","Hour","Temp","Warm_Hour"
2008,3,16,2,9.805,FALSE
2008,3,16,3,9.534,FALSE
2008,3,16,4,9.114,FALSE
2008,3,16,5,9.04,FALSE
2008,3,16,6,8.693,FALSE
2008,3,16,7,8.792,FALSE
2008,3,16,8,10.834,FALSE
2008,3,16,9,11.904,FALSE
2008,3,16,10,13.738,FALSE
2008,3,16,11,15.223,FALSE
2008,3,16,12,16.272,FALSE
2008,3,16,13,16.677,FALSE
2008,3,16,14,17.201,FALSE
2008,3,16,15,17.439,FALSE
2008,3,16,16,17.249,FALSE
2008,3,16,17,16.558,FALSE
2008,3,16,18,14.984,FALSE
2008,3,16,19,12.485,FALSE
2008,3,16,20,10.858,FALSE
2008,3,16,21,12.001,FALSE
2008,3,16,22,11.37,FALSE
2008,3,16,23,10.834,FALSE
2008,3,17,0,10.247,FALSE
2008,3,17,1,11.078,FALSE
2008,3,17,2,10.932,FALSE
2008,3,17,3,10.59,FALSE
2008,3,17,4,10.198,FALSE
2008,3,17,5,9.952,FALSE
2008,3,17,6,10.369,FALSE
2008,3,17,7,11.078,FALSE
2008,3,17,8,13.497,FALSE
2008,3,17,9,15.175,FALSE
2008,3,17,10,17.796,FALSE
2008,3,17,11,19.413,FALSE
2008,3,17,12,21.056,FALSE
2008,3,17,13,22.082,FALSE
2008,3,17,14,23.184,FALSE
2008,3,17,15,23.713,FALSE
2008,3,17,16,23.256,FALSE
2008,3,17,17,22.178,FALSE
2008,3,17,18,20.031,FALSE
2008,3,17,19,16.225,FALSE
2008,3,17,20,13.834,FALSE
2008,3,17,21,14.242,FALSE
2008,3,17,22,14.409,FALSE
2008,3,17,23,12.896,FALSE
2008,3,18,0,11.419,FALSE
2008,3,18,1,11.224,FALSE
2008,3,18,2,10.858,FALSE
2008,3,18,3,9.583,FALSE
2008,3,18,4,8.17,FALSE
2008,3,18,5,7.041,FALSE
2008,3,18,6,6.077,FALSE
2008,3,18,7,7.192,FALSE
2008,3,18,8,12.751,FALSE
2008,3,18,9,15.986,FALSE
2008,3,18,10,19.318,FALSE
2008,3,18,11,21.39,FALSE
2008,3,18,12,23.064,FALSE
2008,3,18,13,23.641,FALSE
2008,3,18,14,24.122,FALSE
2008,3,18,15,24.702,FALSE
2008,3,18,16,23.569,FALSE
2008,3,18,17,22.011,FALSE
2008,3,18,18,20.126,FALSE
2008,3,18,19,16.939,FALSE
2008,3,18,20,14.29,FALSE
2008,3,18,21,12.63,FALSE
2008,3,18,22,11.492,FALSE
2008,3,18,23,10.565,FALSE
2008,3,19,0,9.558,FALSE
2008,3,19,1,8.742,FALSE
2008,3,19,2,7.895,FALSE
2008,3,19,3,7.645,FALSE
2008,3,19,4,7.116,FALSE
2008,3,19,5,6.408,FALSE
2008,3,19,6,6.864,FALSE
2008,3,19,7,7.167,FALSE
2008,3,19,8,11.759,FALSE
2008,3,19,9,14.984,FALSE
2008,3,19,10,18.414,FALSE
2008,3,19,11,20.627,FALSE
2008,3,19,12,22.393,FALSE
2008,3,19,13,23.328,FALSE
2008,3,19,14,22.776,FALSE
2008,3,19,15,20.031,FALSE
2008,3,19,16,18.889,FALSE
2008,3,19,17,19.032,FALSE
2008,3,19,18,17.32,FALSE
2008,3,19,19,15.724,FALSE
2008,3,19,20,14.242,FALSE
2008,3,19,21,12.654,FALSE
2008,3,19,22,11.977,FALSE
2008,3,19,23,11.419,FALSE
2008,3,20,0,11.248,FALSE
2008,3,20,1,9.657,FALSE
2008,3,20,2,9.262,FALSE
2008,3,20,3,7.82,FALSE
2008,3,20,4,6.914,FALSE
2008,3,20,5,7.268,FALSE
2008,3,20,6,6.763,FALSE
2008,3,20,7,7.72,FALSE
2008,3,20,8,11.078,FALSE
2008,3,20,9,13.786,FALSE
2008,3,20,10,16.534,FALSE
2008,3,20,11,18.366,FALSE
2008,3,20,12,19.651,FALSE
2008,3,20,13,20.126,FALSE
2008,3,20,14,19.698,FALSE
2008,3,20,15,20.222,FALSE
2008,3,20,16,20.103,FALSE
2008,3,20,17,18.913,FALSE
2008,3,20,18,16.892,FALSE
2008,3,20,19,14.745,FALSE
2008,3,20,20,13.594,FALSE
2008,3,20,21,12.461,FALSE
2008,3,20,22,11.807,FALSE
2008,3,20,23,10.222,FALSE
2008,3,21,0,9.657,FALSE
2008,3,21,1,7.293,FALSE
