"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"2054/2055",2055,120,120,100,1422,846.5,60.1053417537933,250.806829047622
"2055/2056",2056,120,120,100,1932,1188,73.708610444055,595.323879078031
"2056/2057",2057,121,121,100,1692,1179.5,72.1427217247492,413.568170951912
"2057/2058",2058,120,120,100,1572,1304,74.2461693204004,1261.18934156513
"2058/2059",2059,120,120,100,1470,1010.5,62.2374032457647,245.51343714213
"2059/2060",2060,120,120,100,2003,1665.5,80.8915750553988,1194.45184124028
"2060/2061",2061,121,121,100,1732,1017,68.4260775290932,191.127639764221
"2061/2062",2062,120,120,100,1417,1058.5,65.4798558379061,476.884276823374
"2062/2063",2063,120,120,100,1614,1358.5,75.440640652323,2729.22874196409
"2063/2064",2064,120,120,100,1711,1640,78.086247828358,1722.78373683197
"2064/2065",2065,121,121,100,1258,1052.5,65.4539021295786,1965.20338078844
"2065/2066",2066,120,120,100,1153,1012,61.947985658484,1601.34971003747
"2066/2067",2067,120,120,100,1727,1066.5,70.2535722253724,350.383034402505
"2067/2068",2068,120,120,100,1985,1820.5,81.1758049232776,1054.23779049795
"2068/2069",2069,121,121,100,1451,1003.5,62.4987314222963,334.683911681874
"2069/2070",2070,120,120,100,1862,1518.5,76.4295469337721,868.149612600915
"2070/2071",2071,120,120,100,1600,1220,70.487112794659,953.512261436321
"2071/2072",2072,120,120,100,1770,1348,72.9247824773265,702.198370168917
"2072/2073",2073,121,121,100,1561,1223.5,65.9886047052769,782.823005443206
"2073/2074",2074,120,120,100,1342,873.5,61.4174422874094,526.605428349925
"2074/2075",2075,120,120,100,1501,1199.5,69.4196845243332,978.10716949706
"2075/2076",2076,120,120,100,1459,1101,65.5492932631096,802.080505149672
"2076/2077",2077,121,121,100,1335,913.5,60.58886219134,291.775396593846
"2077/2078",2078,120,120,100,1846,1648,80.7025905958872,1683.69792745658
"2078/2079",2079,120,120,100,1763,1666,79.0419899207918,1681.50987134851
"2079/2080",2080,120,120,100,1544,1225,71.746617392997,965.328157604439
"2080/2081",2081,121,121,100,1150,927.5,61.9998840683329,1088.39896729053
"2081/2082",2082,120,120,100,1444,1081.5,65.4179370783713,515.080454039853
"2082/2083",2083,120,120,100,1756,1033,73.3245504575534,250.623898637015
"2083/2084",2084,120,120,100,1364,934.5,66.1516084074501,461.609679730609
"2084/2085",2085,121,121,100,1794,1686,80.5381621093511,1819.96598721133
"2085/2086",2086,120,120,100,1671,1191.5,70.3036978856398,690.271218435373
"2086/2087",2087,120,120,100,1777,1370,76.4604889835937,802.935940751806
"2087/2088",2088,120,120,100,1884,1410,75.9825102643044,550.648734973278
"2088/2089",2089,121,121,100,1707,1410.5,76.9994548304603,948.164072278654
"2089/2090",2090,120,120,100,2002,1404,79.026610734607,432.448489752831
"2090/2091",2091,120,120,100,1814,1661,80.8577868837056,1563.00196582614
"2091/2092",2092,120,120,100,1820,1402.5,78.1222663022781,873.901470366167
"2092/2093",2093,121,121,100,1939,1565.5,80.9074876516497,1206.87060218537
"2093/2094",2094,120,120,100,1468,995.5,67.743726800356,577.056032527238
"2094/2095",2095,120,120,100,1685,1229,72.7536089356472,782.461411965545
"2095/2096",2096,120,120,100,1803,1267,72.9415525108489,517.496401063167
"2096/2097",2097,121,121,100,1344,642,61.1447493735541,56.3235484161414
"2097/2098",2098,120,120,100,1654,1134,66.640592337546,497.964775111992
"2098/2099",2099,120,120,100,1929,1452,75.9620614188425,457.542174746748
"2099/2100",2100,120,120,100,1592,1376.5,75.5443849284748,1093.32967265416
"2100/2101",2101,120,61,50.8333333333333,934,593,38.2888366581974,251.62208079081
