"","Month","Tmin","Tmax","Chill_eff","Heat_eff"
"1648",11,-12,13,0.477537578958283,1.54511487538776
"1649",11,-12,14,0.490609047619455,1.91735627435075
"1650",11,-12,15,0.478998686396595,2.31384959849395
"1651",11,-12,16,0.475643727343718,2.72813668616753
"1652",11,-12,17,0.47120821185412,3.15413691725447
"1653",11,-12,18,0.410591823694021,3.58649750924943
"1654",11,-12,19,0.379226426172442,4.01865619099877
"1655",11,-12,20,0.367489895910619,4.4429373781374
"1656",11,-12,21,0.322564348510067,4.85194140033727
"1657",11,-12,22,0.310700141879348,5.23871905072456
"1658",11,-12,23,0.249433765996682,5.59693807744813
"1659",11,-12,24,0.0667355008685831,5.92174120153637
"1660",11,-12,25,0,6.2094612074158
"1661",11,-12,26,0,5.29650841892546
"1662",11,-12,27,0,3.69063407959215
"1663",11,-12,28,0,3.90508112685449
"1664",11,-12,29,0,4.10300928396747
"1665",11,-12,30,0,2.55006338012382
"1666",11,-11,-11,0,0
"1667",11,-11,-10,0,0
"1668",11,-11,-9,0,0
"1669",11,-11,-8,0,0
"1670",11,-11,-7,0,0
"1671",11,-11,-6,0,0
"1672",11,-11,-5,0,0
"1673",11,-11,-4,0,0
"1674",11,-11,-3,0,0
"1675",11,-11,-2,0,0
"1676",11,-11,-1,0,0
"1677",11,-11,0,0,0
"1678",11,-11,1,0,0
"1679",11,-11,2,0,0
"1680",11,-11,3,0.428498749241021,0
"1681",11,-11,4,0.458617816854854,0
"1682",11,-11,5,0.470631441690205,0.00900443160621343
"1683",11,-11,6,0.460306055288193,0.0484134346091004
"1684",11,-11,7,0.473129406028751,0.130080892049355
"1685",11,-11,8,0.481084727632095,0.258944766451359
"1686",11,-11,9,0.483576896988885,0.432960030906354
"1687",11,-11,10,0.485329974667232,0.653438070715344
"1688",11,-11,11,0.500545158384951,0.920171729294785
"1689",11,-11,12,0.500729871586672,1.22983953466068
"1690",11,-11,13,0.497130420522165,1.57670330172821
"1691",11,-11,14,0.486302162505067,1.95421152790725
"1692",11,-11,15,0.483732660355743,2.35611413973077
"1693",11,-11,16,0.480074548964197,2.77633708473691
"1694",11,-11,17,0.475338621366183,3.20961563291816
"1695",11,-11,18,0.475495352066785,3.64973085682936
"1696",11,-11,19,0.380795695242981,4.0888409046535
"1697",11,-11,20,0.368883736186694,4.51917731310364
"1698",11,-11,21,0.323592359032709,4.9332977182614
"1699",11,-11,22,0.311480488712909,5.32431170865109
"1700",11,-11,23,0.263590366177465,5.6869056263559
"1701",11,-11,24,0.0667920799999634,6.01641437284814
"1702",11,-11,25,0,6.30807411965464
"1703",11,-11,26,0,5.19231419436564
"1704",11,-11,27,0,3.79548226596319
"1705",11,-11,28,0,4.0122866095944
"1706",11,-11,29,0,4.18872479402254
"1707",11,-11,30,0,2.40427393810587
"1708",11,-10,-10,0,0
"1709",11,-10,-9,0,0
"1710",11,-10,-8,0,0
"1711",11,-10,-7,0,0
"1712",11,-10,-6,0,0
"1713",11,-10,-5,0,0
"1714",11,-10,-4,0,0
"1715",11,-10,-3,0,0
"1716",11,-10,-2,0,0
"1717",11,-10,-1,0,0
"1718",11,-10,0,0,0
"1719",11,-10,1,0,0
"1720",11,-10,2,0,0
"1721",11,-10,3,0.444733737998444,0
"1722",11,-10,4,0.440005290477261,0
"1723",11,-10,5,0.474960145337552,0.00935769706823769
"1724",11,-10,6,0.478592516753766,0.0497971463488136
"1725",11,-10,7,0.47905883719539,0.134227866969178
"1726",11,-10,8,0.487435751846938,0.265778852170911
"1727",11,-10,9,0.489650360476098,0.443346044919773
"1728",11,-10,10,0.491110756839444,0.669095571206335
"1729",11,-10,11,0.489305574141082,0.941836779733363
"1730",11,-10,12,0.491178423468466,1.25745350005612
"1731",11,-10,13,0.491116658288867,1.60986263414843
"1732",11,-10,14,0.491078740466561,1.99297811623335
"1733",11,-10,15,0.488169477645616,2.40091443440794
