"Month","Tmin","Tmax","Dynamic_Model","GDH"
10,-8,22,0.237123639904004,145.041179057061
10,-8,23,0.133090723350061,154.687163052701
10,-8,24,0.0405608657803217,163.393308709679
10,-8,25,0,171.044242840671
10,-8,26,0,172.816943393382
10,-8,27,0,169.763487589604
10,-8,28,0,164.35131678477
10,-8,29,0,157.524553669396
10,-8,30,0,149.001368173944
10,-7,-5,2.20090446219747e-05,0
10,-7,-4,8.8770642547639e-05,0
10,-7,-3,0.000383831824587749,0
10,-7,-2,0.00170323626875586,0
10,-7,-1,0.00757333544817132,0
10,-7,0,0.032705768866169,0
10,-7,1,0.125500580685405,0
10,-7,2,0.346180944647416,0
10,-7,3,0.556084105833403,0
10,-7,4,0.586297345074818,0
10,-7,5,0.60664539333892,0.264518632574069
10,-7,6,0.640247565651977,1.42803958601004
10,-7,7,0.646776812640579,3.77775251665741
10,-7,8,0.65584539774076,7.43022866041497
10,-7,9,0.665520071530021,12.4094982859694
10,-7,10,0.665587331653539,18.7028937218221
10,-7,11,0.662867877578399,26.2443981482637
10,-7,12,0.654094868382301,34.9205474143995
10,-7,13,0.642456918851359,44.6032238752361
10,-7,14,0.616443350807073,55.1381871205702
10,-7,15,0.592418417562784,66.3556614423227
10,-7,16,0.560859139410234,78.0676347971534
10,-7,17,0.547614158249353,90.0758940789468
10,-7,18,0.508882512820453,102.183009258048
10,-7,19,0.479875673150302,114.19340689808
10,-7,20,0.457526761855683,125.909750059563
10,-7,21,0.356380136278787,137.143834867728
10,-7,22,0.243536719873988,147.720724752094
10,-7,23,0.135580205242162,157.484179702387
10,-7,24,0.0509088304196956,166.296167753268
10,-7,25,0,174.033955113243
10,-7,26,0,175.781006600911
10,-7,27,0,172.665576897498
10,-7,28,0,167.184467791494
10,-7,29,0,160.216941846399
10,-7,30,0,151.482984477991
10,-6,-5,3.18541698981608e-05,0
10,-6,-4,0.000108071900301612,0
10,-6,-3,0.000430082700937626,0
10,-6,-2,0.00183311262049931,0
10,-6,-1,0.0079764673671275,0
10,-6,0,0.0340031828136066,0
10,-6,1,0.129393481554509,0
10,-6,2,0.355377412005174,0
10,-6,3,0.565468274448123,0
10,-6,4,0.59771373880007,0
10,-6,5,0.625100545109021,0.276166993095414
10,-6,6,0.642541849966059,1.48848844230259
10,-6,7,0.663034011890667,3.9227384063763
10,-6,8,0.662540139334473,7.69176131977821
10,-6,9,0.681528224139666,12.8184804815381
10,-6,10,0.674373638102747,19.2851743485599
10,-6,11,0.66825632483566,27.0109950701033
10,-6,12,0.665905174996915,35.8863666042521
10,-6,13,0.647284259846411,45.7771112335328
10,-6,14,0.620911917503143,56.527277397506
10,-6,15,0.589504532809456,67.958687520087
10,-6,16,0.579031928878852,79.8785784059229
10,-6,17,0.556170176254512,92.0914516527321
10,-6,18,0.52191059890981,104.397737716423
10,-6,19,0.492494738283353,116.592855384724
10,-6,20,0.460679436550429,128.478777032439
10,-6,21,0.353874166575676,139.86855339971
10,-6,22,0.256345471298099,150.590563045357
10,-6,23,0.122428402989667,160.482500254566
10,-6,24,0.0539170455369031,169.399869314952
10,-6,25,0,177.220532838105
10,-6,26,0,178.937967440188
10,-6,27,0,175.76836954962
10,-6,28,0,170.230825073435
10,-6,29,0,163.10793929346
10,-6,30,0,154.181139032983
10,-5,-5,6.20800965265851e-05,0
10,-5,-4,0.000156331651468173,0
10,-5,-3,0.000523736235725021,0
10,-5,-2,0.00205415210583242,0
10,-5,-1,0.00858178938073662,0
10,-5,0,0.0357778291598631,0
10,-5,1,0.134266477880204,0
10,-5,2,0.365814685453212,0
10,-5,3,0.574950091487375,0
10,-5,4,0.609964737117641,0
10,-5,5,0.644403191294044,0.289326416387522
10,-5,6,0.65498945880863,1.55626889893086
10,-5,7,0.66698025733548,4.08566551127732
10,-5,8,0.6818945391587,7.98209721741913
10,-5,9,0.686442082519253,13.2724535133648
10,-5,10,0.67977509787021,19.9237331747364
10,-5,11,0.684375509934255,27.8493435045484
10,-5,12,0.672712329074741,36.9395417873571
10,-5,13,0.659013350857783,47.05603362931
10,-5,14,0.62638344664484,58.0344609001165
10,-5,15,0.605237965727399,69.6913563829845
10,-5,16,0.597684656619003,81.8368438044613
10,-5,17,0.560887256752561,94.2701396717898
10,-5,18,0.528202146452862,106.783695067393
10,-5,19,0.460411213099066,119.173220267494
10,-5,20,0.463668004665915,131.243855632708
10,-5,21,0.351431628880225,142.805395153584
10,-5,22,0.252284958693821,153.677017221063
10,-5,23,0.108386089420994,163.695263454622
10,-5,24,0.0576668253805378,172.720617719247
10,-5,25,0,180.638126143747
10,-5,26,0,182.338775022671
10,-5,27,0,179.119251410074
10,-5,28,0,173.518901749441
10,-5,29,0,166.219982798613
10,-5,30,0,157.126063059775
10,-4,-4,0.000303416547351431,0
