"Month","Tmin","Tmax","CP"
10,-19,5,0.454965602379185
10,-19,6,0.446278905527368
10,-19,7,0.489596530039922
10,-19,8,0.494715020328255
10,-19,9,0.482862100203216
10,-19,10,0.478882505172946
10,-19,11,0.501676158695386
10,-19,12,0.53324302519962
10,-19,13,0.46456441070302
10,-19,14,0.477695516462947
10,-19,15,0.449669886654702
10,-19,16,0.424564745726233
10,-19,17,0.408680470241953
10,-19,18,0.434527993420201
10,-19,19,0.461570839459653
10,-19,20,0.36595960077532
10,-19,21,0.299024499685651
10,-19,22,0.0316619810686949
10,-19,23,0
10,-19,24,0
10,-19,25,0
10,-19,26,0
10,-19,27,0
10,-19,28,0
10,-19,29,0
10,-19,30,0
10,-18,-15,1.47167268383476e-13
10,-18,-14,8.05787150622004e-13
10,-18,-13,4.53907131239889e-12
10,-18,-12,2.57899469564341e-11
10,-18,-11,1.46491701836247e-10
10,-18,-10,8.28005349331584e-10
10,-18,-9,4.64395719903292e-09
10,-18,-8,2.58130507428592e-08
10,-18,-7,1.42031311862127e-07
10,-18,-6,7.74061387604938e-07
10,-18,-5,4.14796326343351e-06
10,-18,-4,2.1907801454871e-05
10,-18,-3,0.000113990140404261
10,-18,-2,0.000583630363056871
10,-18,-1,0.00293100843137344
10,-18,0,0.0142512277808616
10,-18,1,0.0634059289576699
10,-18,2,0.212135207961052
10,-18,3,0.404746047396551
10,-18,4,0.420938706533445
10,-18,5,0.466416386144695
10,-18,6,0.459169894666531
10,-18,7,0.473202639966974
10,-18,8,0.501640217217851
10,-18,9,0.490362049491181
10,-18,10,0.503518173122608
10,-18,11,0.509608745370488
10,-18,12,0.546743293103931
10,-18,13,0.516309915687144
10,-18,14,0.470560934747549
10,-18,15,0.463632732643852
10,-18,16,0.440278347568659
10,-18,17,0.454059335056949
10,-18,18,0.467111666242348
10,-18,19,0.481228858244323
10,-18,20,0.449940132788949
10,-18,21,0.305299928610051
10,-18,22,0.0963607889898553
10,-18,23,0
10,-18,24,0
10,-18,25,0
10,-18,26,0
10,-18,27,0
10,-18,28,0
10,-18,29,0
10,-18,30,0
10,-17,-15,1.94639184729047e-13
10,-17,-14,9.69628836402166e-13
10,-17,-13,5.22120890699766e-12
10,-17,-12,2.89291933705047e-11
10,-17,-11,1.61671734693499e-10
10,-17,-10,9.0318659244599e-10
10,-17,-9,5.02412995893452e-09
10,-17,-8,2.77454599323851e-08
10,-17,-7,1.52081906926725e-07
10,-17,-6,8.21472314834477e-07
10,-17,-5,4.37962949741854e-06
10,-17,-4,2.30336308522898e-05
10,-17,-3,0.000119395015492064
10,-17,-2,0.000609191003716094
