"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"2065/2066",2066,120,120,100,1028,1014.5,62.1934534173652,3046.92806256749
"2066/2067",2067,120,120,100,1865,1343.5,76.6015185307187,863.433869659901
"2067/2068",2068,120,120,100,1749,1871,84.3339222049726,2243.44410886616
"2068/2069",2069,121,121,100,1583,1286,67.0396775271802,783.210218440276
"2069/2070",2070,120,120,100,1761,1679,81.1764666537547,1562.02963466337
"2070/2071",2071,120,120,100,1585,1521.5,74.8936789805375,1561.55064881034
"2071/2072",2072,120,120,100,1689,1572.5,75.5629334978294,1490.0562170865
"2072/2073",2073,121,121,100,1405,1282,68.0457805129554,1734.07817562763
"2073/2074",2074,120,120,100,1589,1244,64.9059101527837,861.00559972832
"2074/2075",2075,120,120,100,1738,1440.5,76.2055892910394,1170.11099195527
"2075/2076",2076,120,120,100,1553,1350,70.8032248511026,1413.48945434252
"2076/2077",2077,121,121,100,1279,1077,63.8098770876113,922.34776573116
"2077/2078",2078,120,120,100,1724,1672,80.0473974052002,3100.7564378567
"2078/2079",2079,120,120,100,1598,1715,79.6193519465687,2916.43713491503
"2079/2080",2080,120,120,100,1452,1362.5,73.654722806592,1925.53001366975
"2080/2081",2081,121,121,100,1082,981.5,64.0286153787602,2274.6110450048
"2081/2082",2082,120,120,100,1600,1223.5,70.2108948411405,1021.79084351985
"2082/2083",2083,120,120,100,2008,1391,76.7397574524985,429.210674478207
"2083/2084",2084,120,120,100,1529,1238,70.6967684297142,805.247189150658
"2084/2085",2085,121,121,100,1478,1653,81.9799088413802,3237.8987131808
"2085/2086",2086,120,120,100,1740,1426,73.5696011805885,1305.2933645458
"2086/2087",2087,120,120,100,1868,1537,78.9679599745778,1437.68952151155
"2087/2088",2088,120,120,100,1841,1576.5,78.2141805682822,1268.4166574534
"2088/2089",2089,121,121,100,1742,1541.5,79.1842932113923,1649.36830043839
"2089/2090",2090,120,120,100,2038,1645,81.2844500835618,1016.58419208741
"2090/2091",2091,120,120,100,1650,1691.5,81.998319794513,2771.04568823474
"2091/2092",2092,120,120,100,1929,1534.5,81.0139559048657,1658.68957977276
"2092/2093",2093,121,121,100,1799,1610,82.3086442864551,2429.04224970331
"2093/2094",2094,120,120,100,1635,1227.5,74.1956363367262,936.730134059209
"2094/2095",2095,120,120,100,1819,1460.5,77.2017325304223,1201.87272551656
"2095/2096",2096,120,120,100,1717,1381,76.957005518514,1375.76129552815
"2096/2097",2097,121,121,100,1624,933.5,66.7893533033748,102.899669216946
"2097/2098",2098,120,120,100,1844,1335,71.5940546981146,730.3258537855
"2098/2099",2099,120,120,100,2056,1629.5,81.2254991793488,965.572984829545
"2099/2100",2100,120,120,100,1681,1622,78.8025432322102,1667.04312716331
"2100/2101",2101,120,61,50.8333333333333,1049,913,41.6519794682208,686.002632634714
